annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_12	14273	14755	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_13	14748	15083	-		C	smz:SMD_1612		smz:SMD_1612  hypothetical protein	False	0.65	145.0	3.546e-38																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_14	15080	15571	-		C	smz:SMD_1611		smz:SMD_1611  hypothetical protein	False	0.668	211.0	6.586e-60														Bacteriophage Rz lysis protein [PF03245.16]			VOG00550	sp|P10305|SPAN1_BPT3 Spanin, inner membrane subunit; XhXp	Xp;Xh	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_15	15568	15906	-		C	slm:BIZ42_16250		slm:BIZ42_16250  hypothetical protein	False	0.71	139.0	3.107e-36																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_16	15903	16334	-		C	smz:SMD_1609		smz:SMD_1609  Phage capsid and scaffold	False	0.891	268.0	3.451e-80	YP_010084150.1	YP_010084150.1 hypothetical protein KMD63_gp19 [Vibrio phage 1.249.A._10N.261.55.B9]	False	0.517	130.0	1.502e-34											VOG06258	sp|Q9XJR2|P5_BPPM2 Protein P5; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_17	16413	16772	-		C	xve:BJD12_18360		xve:BJD12_18360  hypothetical protein	False	0.405	80.0	1.64e-15														Uncharacterized conserved protein (DUF2190) [PF09956.12]			VOG01177	REFSEQ DUF2190 family protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_18	16855	19161	-		C	xfh:XFHB_02100		xfh:XFHB_02100  peptidase S14	False	0.528	741.0	2.912e-232	YP_001700678.1	YP_001700678.1 bacteriophage Clp protease involved in capsid processing [Phage Gifsy-2]	False	0.241	225.0	2.675e-59	MER0248681	S14	MER0248681 - family S14 non-peptidase homologues (Serratia sp. AS12) [S14.UNW]#S14#{peptidase unit: 35-668}~source YP_004501835~	False	0.249	232.0	3.673e-61	Clp protease [PF00574.26]; Mu-like prophage major head subunit gpT [PF10124.12]			VOG06264	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0.0	0.0	1.0	False	VP								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_19	19158	20684	-		C	xfl:P303_08020		xfl:P303_08020  hypothetical protein	False	0.605	586.0	1.723e-183	YP_001700565.1	YP_001700565.1 putative bacteriophage portal protein [Salmonella phage Fels-1]	False	0.435	376.0	3.52e-113								Phage portal protein, lambda family [PF05136.16]			VOG00946	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_20	20681	20878	-		C	xve:BJD12_18345		xve:BJD12_18345  primosomal replication protein PriB/PriC domain protein	False	0.568	72.0	1.58e-13														Family of unknown function (DUF6148) [PF19645.2]			VOG04297	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_21	21037	21366	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_22	21363	23453	-		C	adn:Alide_3553		adn:Alide_3553  terminase GpA	False	0.704	929.0	2.686e-298	YP_009909494.1	YP_009909494.1 Phage terminase, large subunit [Escherichia virus Lambda_1H12]	False	0.365	365.0	1.045e-106								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]			VOG06179	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0.0	0.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_23	23450	23983	-		C	cuh:BJN34_12825		cuh:BJN34_12825  DNA packaging Nu1	False	0.588	174.0	4.825999999999999e-47														Phage DNA packaging protein Nu1 [PF07471.15]						0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_24	24385	25761	-		C	xve:BJD12_18325		xve:BJD12_18325  virulence factor	False	0.819	778.0	7.847000000000001e-251	YP_009010739.1	YP_009010739.1 virulence-associated protein E [Croceibacter phage P2559Y]	False	0.31	196.0	2.077e-52								Virulence-associated protein E [PF05272.14]			VOG00129	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_25	25957	27018	-		C	xve:BJD12_18315		xve:BJD12_18315  DNA primase	False	0.668	463.0	8.679e-144	YP_010037878.1	YP_010037878.1 putative primase [Ralstonia phage phiRSP]	False	0.34	111.0	2.842e-25								CHC2 zinc finger [PF01807.23]; Domain of unknown function (DUF6371) [PF19898.2]						0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_26	27018	27230	-		C	xve:BJD12_18310		xve:BJD12_18310  hypothetical protein	False	0.602	77.0	3.233e-15																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_27	27444	27974	-		C	smz:SMD_1601		smz:SMD_1601  conserved hypothetical protein	False	0.952	238.0	3.054e-69														Phage regulatory protein CII (CP76) [PF06892.14]			VOG00937	sp|P21316|YR7B_ECOLX Putative uncharacterized protein ORFB in retron EC67; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_28	28043	28288	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_29	28296	28622	-		D																					Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT [PF15943.8]						0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_30	28700	29233	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_31	29187	29540	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_32	29550	29843	-		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_33	29882	30085	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_34	30120	30344	+		C	smz:SMD_1600		smz:SMD_1600  hypothetical protein	False	0.926	146.0	3.149e-39																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_35	30341	30661	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_36	30658	30807	+		C	buj:BurJV3_1432		buj:BurJV3_1432  hypothetical protein	False	0.798	78.0	4.337e-16																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_37	30810	31130	+		C	xga:BI317_09705		xga:BI317_09705  hypothetical protein	False	0.528	98.0	4.566999999999999e-22																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_38	31146	31418	+		E																											0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_39	31415	31741	+		C	smz:SMD_1599		smz:SMD_1599  hypothetical protein	False	0.931	213.0	7.479e-62																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_40	31738	31977	+		C	smz:SMD_1598		smz:SMD_1598  hypothetical protein	False	0.973	164.0	1.3989999999999999e-45	YP_010106750.1	YP_010106750.1 hypothetical protein KNU94_gp69 [Xanthomonas phage FoX2]	False	0.578	66.0	1.626e-13														0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_41	31974	32462	+		C	smz:SMD_1597		smz:SMD_1597  hypothetical protein	False	0.957	326.0	4.394e-100																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_42	32470	32862	+		E																								VOG11261	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_43	32859	33557	+		C	smz:SMD_1596		smz:SMD_1596  hypothetical protein	False	0.948	406.0	1.845e-126																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_44	33550	35505	+		C	smz:SMD_1595		smz:SMD_1595  Site-specific DNA methylase-like	False	0.519	694.0	5.552e-218	YP_009796624.1	YP_009796624.1 DNA cytosine methylasetransferase [Pseudomonas phage PMBT3]	False	0.364	394.0	4.125e-117								C-5 cytosine-specific DNA methylase [PF00145.20]			VOG00135	sp|P34877|MTSA_LACLC Modification methylase ScrFIA; XhXp	Xp;Xh	0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_45	35505	35744	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_46	35741	36964	+		C	xau:Xaut_3671		xau:Xaut_3671  hypothetical protein	False	0.491	128.0	4.292e-28	YP_009801033.1	YP_009801033.1 hypothetical protein HOT16_gp57 [Xanthomonas phage Carpasina]	False	0.468	111.0	9.463e-25											VOG23112	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_47	36961	37224	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_48	37217	37444	+		C	rah:Rahaq_4975		rah:Rahaq_4975  hypothetical protein	False	0.518	74.0	3.797e-14																				0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_49	37437	37685	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_50	37678	37902	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_51	37895	38074	+		C	pvr:PverR02_21200		pvr:PverR02_21200  hypothetical protein	False	0.816	102.0	3.8409999999999996e-24																				0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_52	38071	38292	+		C	xve:BJD12_18220		xve:BJD12_18220  hypothetical protein	False	0.678	103.0	2.986e-24																				0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_53	38311	39543	+		C	xve:BJD12_18215		xve:BJD12_18215  integrase	False	0.693	435.0	4.875999999999999e-133																	VOG00018	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0.0	1.0	4.0	False	VF								
DRAMv	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067	Sample_17_contig_1_2_partial_1__excised_start_1_end_40529_len_66067_54	39540	40529	-		C	eoj:ECO26_3719		eoj:ECO26_3719  hypothetical protein	False	0.257	61.0	3.758e-07																				0.0	2.0	5.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_1	1	2139	-		C	buj:BurJV3_0903		buj:BurJV3_0903  TonB-dependent siderophore receptor	False	0.915	1363.0	0.0														TonB dependent receptor [PF00593.27]; TonB-dependent Receptor Plug Domain [PF07715.18]						0.0	2.0	5.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_2	2269	2646	-		C	sml:Smlt1066		sml:Smlt1066  putative transmembrane protein	False	0.839	222.0	8.646000000000001e-65																				0.0	2.0	4.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_3	2858	3112	-		C	sml:Smlt1065		sml:Smlt1065  putative phage-related protein	False	0.922	164.0	1.794e-45																				0.0	1.0	4.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_4	3124	3348	-		C	smt:Smal_0904		smt:Smal_0904  hypothetical protein	False	0.955	151.0	5.137e-41	YP_010106742.1	YP_010106742.1 putative MerR transcription regulator [Xanthomonas phage FoX2]	False	0.498	64.0	8.695e-13														0.0	2.0	2.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_5	3835	6171	+		C	sml:Smlt1061		sml:Smlt1061  putative phage integrase protein	False	0.967	1584.0	0.0	YP_010106836.1	YP_010106836.1 DNA primase [Xanthomonas phage FoX3]	False	0.549	803.0	2.194e-255								Virulence-associated protein E [PF05272.14]; Toprim domain [PF13362.9]			VOG00129	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_6	6172	6453	+		C	sml:Smlt1060		sml:Smlt1060  putative regulatory protein	False	0.954	167.0	4.1840000000000006e-46																				0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_7	6518	6745	+		C	sml:Smlt1059		sml:Smlt1059  hypothetiacl protein	False	0.897	143.0	4.168e-38																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_8	6787	7425	+		A	sml:Smlt1058		sml:Smlt1058  putative phage-related protein	True	0.933	417.0	1.987e-130	YP_009785563.1	YP_009785563.1 nucleoside hydrolase [Caulobacter phage Seuss]	False	0.365	104.0	2.6999999999999993e-24											VOG00072	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase; Xh	Xh	0.0	1.0	2.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_9	7579	7962	+		C	smt:Smal_0899		smt:Smal_0899  hypothetical protein	False	0.918	246.0	5.593e-73	YP_010106779.1	YP_010106779.1 hypothetical protein KNU94_gp40 [Xanthomonas phage FoX2]	False	0.317	64.0	7.683e-12											VOG18943	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_10	8318	8746	+		C	smt:Smal_0898		smt:Smal_0898  conserved hypothetical protein	False	0.909	272.0	1.399e-81														Mor transcription activator family [PF08765.14]			VOG00353	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_11	8743	9093	+		C	smt:Smal_0897		smt:Smal_0897  conserved hypothetical protein	False	0.881	215.0	2.27e-62																				0.0	2.0	2.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_12	9090	9575	+		C	smt:Smal_0896		smt:Smal_0896  Lysozyme	False	0.928	315.0	2.884e-96	YP_009877133.1	YP_009877133.1 Phage lysin, 1,4-beta-N-acetylmuramidase (EC or lysozyme #Protein S in phage lambda [Escherichia virus P2-2H4]	False	0.511	149.0	8.660999999999997e-41									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)				0.0	0.0	2.0	False	A								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_13	9572	9949	+		C	smt:Smal_0895		smt:Smal_0895  hypothetical protein	False	0.856	224.0	2.444e-65																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_14	10303	10857	+		C	smt:Smal_0894		smt:Smal_0894  conserved hypothetical protein	False	0.906	350.0	5.469e-108	YP_010106719.1	YP_010106719.1 minor tail protein [Xanthomonas phage FoX2]	False	0.418	127.0	9.842999999999999e-33											VOG02873	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_15	10854	11444	+		C	smt:Smal_0893		smt:Smal_0893  phage baseplate assembly protein V	False	0.925	382.0	1.057e-118	YP_010037888.1	YP_010037888.1 putative baseplate assembly protein [Ralstonia phage phiRSP]	False	0.463	180.0	8.121999999999999e-51								Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]			VOG00239	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xp;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_16	11497	11835	+		C	sml:Smlt1050		sml:Smlt1050  gpW; putative phage baseplate assembly protein	False	0.954	227.0	1.4289999999999998e-66	YP_010037889.1	YP_010037889.1 putative tail protein [Ralstonia phage phiRSP]	False	0.637	143.0	1.534e-39								Baseplate wedge protein gp25 [PF04965.17]			VOG02482	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_17	11838	12734	+		C	smt:Smal_0891		smt:Smal_0891  Baseplate J family protein	False	0.899	561.0	1.188e-178	YP_010037890.1	YP_010037890.1 putative baseplate J-like protein [Ralstonia phage phiRSP]	False	0.513	281.0	6.208e-84								Baseplate J-like protein [PF04865.17]			VOG02386	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_18	12724	13506	+		C	sml:Smlt1048		sml:Smlt1048  putative bacteriophage tail protein I	False	0.802	428.0	1.989e-133	YP_010037891.1	YP_010037891.1 putative tail protein II [Ralstonia phage phiRSP]	False	0.42	130.0	1.566e-32								Phage tail protein (Tail_P2_I) [PF09684.13]			VOG02675	sp|P26701|BPI_BPP2 Baseplate protein I; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_19	13514	15013	+		C	xoo:XOO1698		xoo:XOO1698  MdpB; Microcystin-dependent protein	False	0.575	552.0	6.318000000000003e-172	YP_009845876.1	YP_009845876.1 tail fiber protein [Pantoea phage vB_PagM_AAM37]	False	0.271	79.0	3.437e-14								Phage Tail Collar Domain [PF07484.15]; Phage tail-collar fibre protein [PF12571.11]						0.0	0.0	1.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_20	15018	15602	+		C	xom:XOO1593		xom:XOO1593  XOO1593; hypothetical protein	False	0.403	126.0	3.168e-30																				0.0	2.0	1.0	False									
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_21	15710	16909	+		C	thas:C6Y53_06535		thas:C6Y53_06535  phage tail protein	False	0.601	466.0	9.593e-144	YP_010106726.1	YP_010106726.1 tail sheath monomer [Xanthomonas phage FoX2]	False	0.526	470.0	1.876e-147								Phage tail sheath C-terminal domain [PF17482.5]; Phage tail sheath protein subtilisin-like domain [PF04984.17]			VOG00421	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_22	16912	17415	+		C	sml:Smlt1044		sml:Smlt1044  putative major tail tube protein	False	0.927	326.0	5.578e-100	YP_010106808.1	YP_010106808.1 major tail tube protein [Xanthomonas phage FoX3]	False	0.539	171.0	4.548e-48								Phage tail tube protein FII [PF04985.17]			VOG10403	sp|P22502|TUBE_BPP2 Tail tube protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	2.0	1.0	False	VF								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_23	17496	17786	+		C	smt:Smal_0885		smt:Smal_0885  conserved hypothetical protein	False	0.938	191.0	1.479e-54														Phage tail assembly chaperone proteins, E, or 41 or 14 [PF10109.12]			VOG12504	REFSEQ hypothetical protein; Xu	Xu	0.0	2.0	1.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_24	17907	20378	+		C	smt:Smal_0884		smt:Smal_0884  phage tail tape measure protein, TP901 family	False	0.839	1427.0	0.0	YP_010106812.1	YP_010106812.1 tail length tape-measure protein [Xanthomonas phage FoX3]	False	0.38	491.0	1.21e-147														0.0	0.0	1.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_25	20381	20848	+		C	smt:Smal_0883		smt:Smal_0883  P2 GpU family protein	False	0.942	308.0	4.632e-94	YP_010106813.1	YP_010106813.1 tail protein [Xanthomonas phage FoX3]	False	0.552	156.0	3.149e-43								Phage P2 GpU [PF06995.14]						0.0	0.0	1.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_26	20832	21047	+		C	sml:Smlt1040		sml:Smlt1040  putative phage tail protein	False	0.916	138.0	1.1110000000000001e-36	YP_010037898.1	YP_010037898.1 putative tail protein [Ralstonia phage phiRSP]	False	0.492	64.0	7.554e-13								Phage Tail Protein X [PF05489.15]						0.0	0.0	1.0	False	F								
DRAMv	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905	Sample_17_contig_1_3_partial_1__excised_start_1_end_22111_len_47905_27	21038	22111	+		C	smt:Smal_0881		smt:Smal_0881  late control D family protein	False	0.879	654.0	9.299e-210	YP_010106734.1	YP_010106734.1 gene D protein [Xanthomonas phage FoX2]	False	0.573	392.0	4.568e-121								Phage tail baseplate hub (GPD) [PF05954.14]			VOG01510	sp|P21679|BPD_BP186 Probable baseplate hub protein; XhXs	Xh;Xs	0.0	0.0	5.0	False	VF								
